ticker,total_investment,quantity,total_value,total_pnl
RCMT,125800,28747.317942744496,547636.3848768196,421836.38487681956
NRP,125800,6160.942868037679,545243.4438213345,419443.4438213345
FIX,125800,1579.6729775590843,542222.7495471557,416422.7495471557
AVGO,125800,3244.3260557789067,540504.7406945606,414704.7406945606
LWAY,125800,25481.468641942527,533327.1464521842,407527.1464521842
SM,125800,13175.782401963997,519652.83983927645,393852.83983927645
GGAL,125800,11747.707330636038,514314.61259478267,388514.61259478267
IESC,125800,3200.2803419625247,513100.95308673993,387300.95308673993
TRGP,125800,3411.2930105806918,502176.46699055185,376376.46699055185
VIRC,125800,33263.34310054884,500280.6789633587,374480.6789633587
EDN,125800,21063.644243267467,497944.53705461475,372144.53705461475
ASTS,122400,18247.91836902316,489226.68172807107,366826.68172807107
AR,125800,18125.074101446517,487745.74130425893,361945.74130425893
CRS,125800,3471.091072012421,485952.750081739,360152.750081739
BLDR,125800,2650.344104230355,471761.25055300316,345961.25055300316
MMYT,125800,4598.953819193899,471392.76646737463,345592.76646737463
ANET,125800,1307.4358473698323,470611.5492206814,344811.5492206814
USAP,125800,12476.015685537543,469294.0603288674,343494.0603288674
DDS,125800,1392.0192314132241,468776.4099646552,342976.4099646552
ELF,125800,4045.9024100720317,462689.4020852604,336889.4020852604
YPF,125800,19644.1079244113,457707.6996515183,331907.6996515183
SFM,125800,4444.194188179183,454596.6275776299,328796.6275776299
PI,125800,2434.640836111962,454523.10363768955,328723.10363768955
FICO,125800,241.66303703817468,451496.64490801375,325696.64490801375
BELFB,125800,6637.609184978355,449299.78193628544,323499.78193628544
GRBK,125800,5826.411619791543,449274.6035582853,323474.6035582853
SUPV,125800,54318.01018979536,447037.198997204,321237.198997204
HDSN,125800,56494.09238582636,446303.33523572475,320503.33523572475
VST,125800,5335.763886254752,440307.2179819371,314507.2179819371
BMA,125800,6658.273960208213,437515.1758294498,311715.1758294498
INLX,125800,44424.36244486948,431471.6032992455,305671.6032992455
HWKN,125800,3667.197708304831,430639.0280053762,304839.0280053762
AMRK,125800,9239.111582919493,429156.7400754932,303356.7400754932
RAIL,125800,44302.73031341604,426635.2979882416,300835.2979882416
EME,125800,1079.3497910743463,423947.0096206161,298147.0096206161
USLM,125800,5069.197089172304,422010.6576735943,296210.6576735943
