"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
245,"DIOD","Diodes, Inc","Technology","Semiconductors","USA",2722.52,44.55,58.76,0.00%,0
246,"DK","Delek US Holdings Inc","Energy","Oil & Gas Refining & Marketing","USA",1155.84,,18.29,0.00%,0
247,"DLTH","Duluth Holdings Inc","Consumer Cyclical","Apparel Retail","USA",129.63,,3.70,0.00%,0
248,"DLY","DoubleLine Yield Opportunities Fund","Financial","Closed-End Fund - Debt","USA",777.20,6.38,16.21,-0.67%,450
249,"DM","Desktop Metal Inc","Technology","Computer Hardware","USA",139.03,,4.17,0.00%,0
250,"DNMR","Danimer Scientific Inc","Basic Materials","Specialty Chemicals","USA",30.20,,10.00,0.00%,0
251,"DOCU","DocuSign Inc","Technology","Software - Application","USA",16672.18,17.32,82.14,-0.40%,1966
252,"DOMO","Domo Inc","Technology","Software - Application","USA",345.36,,8.94,0.00%,0
253,"DOW","Dow Inc","Basic Materials","Chemicals","USA",31668.16,30.32,45.23,0.43%,2553
254,"DSL","Doubleline Income Solutions Fund","Financial","Closed-End Fund - Debt","USA",1304.90,6.30,12.61,-0.86%,850
255,"DTC","Solo Brands Inc","Consumer Cyclical","Internet Retail","USA",114.59,,1.25,0.00%,1112
256,"DTM","DT Midstream Inc","Energy","Oil & Gas Midstream","USA",9692.30,24.22,99.76,0.00%,3
257,"DUO","Fangdd Network Group Ltd","Real Estate","Real Estate Services","China",,,0.96,11.29%,7295895
258,"DVA","DaVita Inc","Healthcare","Medical Care Facilities","USA",13074.08,17.19,159.44,0.89%,121
259,"DXC","DXC Technology Co","Technology","Information Technology Services","USA",4132.79,290.09,22.83,0.00%,101
260,"EAF","GrafTech International Ltd","Industrials","Electrical Equipment & Parts","USA",573.48,,2.23,2.29%,433
261,"EAT","Brinker International, Inc","Consumer Cyclical","Restaurants","USA",5392.23,29.66,121.37,1.99%,1063
262,"EBAY","EBay Inc","Consumer Cyclical","Internet Retail","USA",29515.98,15.56,61.62,0.20%,301
263,"EBMT","Eagle Bancorp Montana Inc","Financial","Banks - Regional","USA",136.61,15.77,17.04,0.00%,0
264,"ED","Consolidated Edison, Inc","Utilities","Utilities - Regulated Electric","USA",33615.84,18.25,97.04,0.00%,475
265,"EDR","Endeavor Group Holdings Inc","Communication Services","Entertainment","USA",19164.32,,28.00,-3.41%,11
266,"EFOI","Energy Focus Inc","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",6.84,,1.30,0.00%,0
267,"EFT","Eaton Vance Floating-Rate Income Trust","Financial","Closed-End Fund - Debt","USA",349.35,6.60,13.33,1.06%,15
268,"EGBN","Eagle Bancorp Inc (MD)","Financial","Banks - Regional","USA",886.72,,29.36,0.00%,0
269,"EGHT","8X8 Inc","Technology","Software - Application","USA",373.69,,2.86,0.00%,0
270,"EHAB","Enhabit Inc","Healthcare","Medical Care Facilities","USA",382.66,,7.61,0.00%,0
271,"EL","Estee Lauder Cos., Inc","Consumer Defensive","Household & Personal Products","USA",22783.29,113.33,63.47,1.16%,12720
272,"ELME","Elme Communities","Real Estate","REIT - Residential","USA",1516.42,,17.23,0.00%,0
273,"EMKR","Emcore Corp","Technology","Electronic Components","USA",27.22,,3.00,-0.33%,607
274,"ENFN","Enfusion Inc","Technology","Software - Application","USA",1230.92,362.60,9.50,0.00%,0
275,"ENLC","Enlink Midstream LLC","Energy","Oil & Gas Midstream","USA",6997.79,66.45,15.31,0.00%,0
276,"ENR","Energizer Holdings Inc","Industrials","Electrical Equipment & Parts","USA",2425.27,252.47,33.78,0.00%,0
277,"ENV","Envestnet Inc","Technology","Software - Application","USA",3482.37,,62.92,0.00%,0
278,"EPIX","Essa Pharma Inc","Healthcare","Biotechnology","Canada",82.53,,1.86,0.00%,3395
279,"EQC","Equity Commonwealth","Real Estate","REIT - Office","USA",2154.19,52.13,20.07,0.00%,0
280,"ERIC","Telefonaktiebolaget L M Ericsson ADR","Technology","Communication Equipment","Sweden",24751.62,,8.06,-0.25%,55022
281,"ESGR","Enstar Group Limited","Financial","Insurance - Diversified","Bermuda",4927.56,4.90,323.50,0.00%,0
282,"ESP","Espey Manufacturing & Electronics Corp","Industrials","Electrical Equipment & Parts","USA",86.35,13.52,30.96,0.00%,0
283,"ESRT","Empire State Realty Trust Inc","Real Estate","REIT - Diversified","USA",1769.29,38.92,10.61,0.00%,0
284,"ESS","Essex Property Trust, Inc","Real Estate","REIT - Residential","USA",20354.94,35.72,305.63,1.60%,300
285,"ESSA","ESSA Bancorp Inc","Financial","Banks - Regional","USA",202.73,11.24,20.01,0.00%,0
286,"ETSY","Etsy Inc","Consumer Cyclical","Internet Retail","USA",6130.84,27.81,54.50,0.93%,5998
287,"ETWO","E2open Parent Holdings Inc","Technology","Software - Application","USA",1118.47,,3.26,0.00%,0
288,"EVBN","Evans Bancorp Inc","Financial","Banks - Regional","USA",221.70,11.99,40.01,-9.68%,2
289,"EVRI","Everi Holdings Inc","Consumer Cyclical","Gambling","USA",1133.33,27.97,13.17,-1.35%,5
290,"EXAI","Exscientia Plc ADR","Healthcare","Biotechnology","United Kingdom",770.24,,5.89,1.20%,2313
291,"EXR","Extra Space Storage Inc","Real Estate","REIT - Industrial","USA",35887.51,43.10,162.71,0.09%,631
292,"F","Ford Motor Co","Consumer Cyclical","Auto Manufacturers","USA",44194.08,12.68,11.12,0.18%,4847364
293,"FAST","Fastenal Co","Industrials","Industrial Distribution","USA",47973.51,41.62,83.74,0.29%,495
294,"FATE","Fate Therapeutics Inc","Healthcare","Biotechnology","USA",275.59,,2.42,1.68%,1074
295,"FCBC","First Community Bankshares Inc","Financial","Banks - Regional","USA",858.94,17.20,46.96,0.00%,0
296,"FCCO","First Community Corp","Financial","Banks - Regional","USA",187.67,14.52,24.58,-1.72%,1
297,"FCEL","Fuelcell Energy Inc","Industrials","Electrical Equipment & Parts","USA",119.40,,5.86,2.81%,46119
298,"FCT","First Trust Senior Floting Rate Income Fund II","Financial","Closed-End Fund - Debt","USA",266.07,8.33,10.24,0.00%,0
299,"FDS","Factset Research Systems Inc","Financial","Financial Data & Stock Exchanges","USA",18280.24,34.60,481.20,-0.63%,777
300,"FET","Forum Energy Technologies Inc","Energy","Oil & Gas Equipment & Services","USA",195.18,,15.89,2.58%,1000
301,"FFBC","First Financial Bancorp","Financial","Banks - Regional","USA",2802.61,12.68,29.35,0.00%,0
302,"FFIC","Flushing Financial Corp","Financial","Banks - Regional","USA",522.37,20.53,17.97,0.00%,0
303,"FFIE","Faraday Future Intelligent Electric Inc","Consumer Cyclical","Auto Manufacturers","USA",74.80,,1.65,12.24%,1512373
304,"FFIN","First Financial Bankshares, Inc","Financial","Banks - Regional","USA",6096.54,29.46,42.66,0.40%,3
305,"FFIV","F5 Inc","Technology","Software - Infrastructure","USA",14227.24,25.55,244.10,0.04%,14
306,"FFWM","First Foundation Inc","Financial","Banks - Regional","USA",668.64,,8.12,0.00%,0
307,"FG","F&G Annuities & Life Inc","Financial","Insurance - Life","USA",5829.31,,46.23,0.00%,0
308,"FGBI","First Guaranty Bancshares Inc","Financial","Banks - Regional","USA",142.18,13.63,11.37,0.00%,0
309,"FIBK","First Interstate BancSystem Inc","Financial","Banks - Regional","USA",3526.84,14.80,33.74,0.00%,0
310,"FIGS","Figs Inc","Consumer Cyclical","Apparel Manufacturing","USA",818.49,81.69,4.82,2.34%,2750
311,"FISI","Financial Institutions Inc","Financial","Banks - Regional","USA",424.92,8.64,27.46,0.00%,0
312,"FL","Foot Locker Inc","Consumer Cyclical","Apparel Retail","USA",2404.49,,25.35,1.28%,1109
313,"FLG","Flagstar Financial Inc","Financial","Banks - Regional","USA",4728.16,,11.39,0.98%,15520
314,"FLGT","Fulgent Genetics Inc","Healthcare","Diagnostics & Research","USA",581.15,,19.00,-0.84%,20
315,"FLIC","First Of Long Island Corp","Financial","Banks - Regional","USA",320.57,16.18,14.22,0.00%,0
316,"FLNT","Fluent Inc","Communication Services","Advertising Agencies","USA",55.17,,3.27,2.51%,3
317,"FLO","Flowers Foods, Inc","Consumer Defensive","Packaged Foods","USA",4569.97,19.13,21.70,0.00%,0
318,"FMAO","Farmers & Merchants Bancorp Inc","Financial","Banks - Regional","USA",453.73,19.66,33.12,0.00%,0
319,"FMS","Fresenius Medical Care AG ADR","Healthcare","Medical Care Facilities","Germany",12476.01,17.46,21.26,0.24%,2798
320,"FND","Floor & Decor Holdings Inc","Consumer Cyclical","Home Improvement Retail","USA",11039.46,57.00,102.95,1.34%,2444
321,"FNWB","First Northwest Bancorp","Financial","Banks - Regional","USA",98.02,,10.38,0.00%,0
322,"FORR","Forrester Research Inc","Industrials","Consulting Services","USA",324.64,,17.09,0.00%,0
323,"FREY","FREYR Battery Inc","Industrials","Electrical Equipment & Parts","USA",300.99,,2.14,0.11%,25856
324,"FRPH","FRP Holdings Inc","Real Estate","Real Estate Services","USA",586.90,76.98,30.84,0.00%,0
325,"FSK","FS KKR Capital Corp","Financial","Asset Management","USA",5889.80,11.19,21.03,0.10%,555
326,"FSLY","Fastly Inc","Technology","Software - Application","USA",991.92,,7.07,0.14%,8885
327,"FSP","Franklin Street Properties Corp","Real Estate","REIT - Office","USA",198.85,,1.92,0.00%,0
328,"FTRE","Fortrea Holdings Inc","Healthcare","Biotechnology","USA",1968.92,,21.95,0.00%,0
329,"FTS","Fortis Inc","Utilities","Utilities - Regulated Electric","Canada",30705.27,18.65,44.26,0.02%,96
330,"FUBO","fuboTV Inc","Communication Services","Broadcasting","USA",517.84,,1.55,1.97%,149234
331,"FULC","Fulcrum Therapeutics Inc","Healthcare","Biotechnology","USA",239.62,,3.84,5.49%,26641
332,"FULT","Fulton Financial Corp","Financial","Banks - Regional","USA",3848.02,13.33,21.14,0.00%,9
333,"FUSB","First US Bancshares Inc","Financial","Banks - Regional","USA",71.16,8.90,12.45,0.00%,0
334,"FVCB","FVCBankcorp Inc","Financial","Banks - Regional","USA",250.24,51.94,13.76,0.00%,0
335,"FWRD","Forward Air Corp","Industrials","Integrated Freight & Logistics","USA",1008.77,,34.84,0.00%,0
336,"FYBR","Frontier Communications Parent Inc","Communication Services","Telecom Services","USA",8503.86,,34.15,0.00%,133
337,"G","Genpact Ltd","Technology","Information Technology Services","Bermuda",8408.20,12.95,47.19,1.11%,63
338,"GAIN","Gladstone Investment Corporation","Financial","Asset Management","USA",498.60,6.69,13.59,0.44%,75
339,"GAN","GAN Limited","Consumer Cyclical","Gambling","USA",82.94,,1.82,0.00%,0
340,"GBCI","Glacier Bancorp, Inc","Financial","Banks - Regional","USA",6564.60,35.65,57.89,1.29%,199
341,"GBLI","Global Indemnity Group LLC","Financial","Insurance - Property & Casualty","USA",475.79,11.92,34.51,0.00%,0
342,"GCO","Genesco Inc","Consumer Cyclical","Apparel Retail","USA",342.49,,30.52,0.00%,0
343,"GDOT","Green Dot Corp","Financial","Credit Services","USA",621.24,,11.55,1.40%,403
344,"GECC","Great Elm Capital Corp","Financial","Asset Management","USA",105.23,13.65,10.10,0.00%,0
345,"GES","Guess Inc","Consumer Cyclical","Apparel Retail","Switzerland",889.61,6.61,17.30,0.00%,1966
346,"GFI","Gold Fields Ltd ADR","Basic Materials","Gold","South Africa",12557.13,20.15,14.03,0.07%,148837
347,"GGG","Graco Inc","Industrials","Specialty Industrial Machinery","USA",14990.47,31.38,88.78,0.75%,242
348,"GHG","GreenTree Hospitality Group Ltd ADR","Consumer Cyclical","Lodging","China",177.63,7.87,2.66,0.00%,0
349,"GIC","Global Industrial Co","Industrials","Industrial Distribution","USA",1074.66,16.52,28.11,0.00%,0
350,"GIII","G-III Apparel Group Ltd","Consumer Cyclical","Apparel Manufacturing","USA",1372.27,7.80,31.27,0.00%,0
351,"GIS","General Mills, Inc","Consumer Defensive","Packaged Foods","USA",35857.71,15.39,64.59,0.51%,758
352,"GLAD","Gladstone Capital Corp","Financial","Closed-End Fund - Debt","USA",553.43,7.11,25.44,0.00%,2092
353,"GLPG","Galapagos NV ADR","Healthcare","Biotechnology","Belgium",1808.30,,27.44,0.44%,5847
354,"GLYC","GlycoMimetics Inc","Healthcare","Biotechnology","USA",26.43,,0.41,3.67%,51255
355,"GNL","Global Net Lease Inc","Real Estate","REIT - Diversified","USA",1792.02,,7.77,4.30%,6780
356,"GNLN","Greenlane Holdings Inc","Consumer Defensive","Tobacco","USA",1.39,,2.10,-0.94%,2679
357,"GNW","Genworth Financial Inc","Financial","Insurance - Life","USA",3121.61,35.76,7.31,-0.81%,119
358,"GO","Grocery Outlet Holding Corp","Consumer Defensive","Grocery Stores","USA",1856.28,37.25,19.11,0.21%,209
359,"GOLF","Acushnet Holdings Corp","Consumer Cyclical","Leisure","USA",4275.66,23.90,70.32,0.00%,2
360,"GORV","Lazydays Holdings Inc","Consumer Cyclical","Auto & Truck Dealerships","USA",15.87,,1.12,-1.75%,22
361,"GPMT","Granite Point Mortgage Trust Inc","Real Estate","REIT - Mortgage","USA",163.86,,3.28,0.31%,380
362,"GRBK","Green Brick Partners Inc","Consumer Cyclical","Residential Construction","USA",3111.32,9.08,69.92,1.10%,1611
363,"GRFS","Grifols SA ADR","Healthcare","Drug Manufacturers - General","Spain",2347.85,36.36,9.12,0.22%,2424
364,"GRNQ","Greenpro Capital Corp","Industrials","Consulting Services","Malaysia",8.41,,1.11,-2.63%,730
365,"GRYP","Gryphon Digital Mining Inc","Financial","Capital Markets","USA",35.08,,0.87,4.57%,34742
366,"GSBC","Great Southern Bancorp, Inc","Financial","Banks - Regional","USA",729.44,12.24,62.48,-1.45%,125
367,"GSBD","Goldman Sachs BDC Inc","Financial","Asset Management","USA",1495.54,18.75,12.75,0.31%,7402
368,"GWW","W.W. Grainger Inc","Industrials","Industrial Distribution","USA",58684.19,32.47,1205.01,-0.28%,7
369,"HAYN","Haynes International Inc","Industrials","Metal Fabrication","USA",774.77,20.89,60.60,0.00%,0
370,"HBB","Hamilton Beach Brands Holding Co","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",279.72,10.85,20.41,0.00%,0
371,"HBCP","Home Bancorp Inc","Financial","Banks - Regional","USA",409.38,11.23,50.69,0.00%,0
372,"HBI","Hanesbrands Inc","Consumer Cyclical","Apparel Manufacturing","USA",2812.92,,7.98,0.00%,20
373,"HCP","HashiCorp Inc","Technology","Software - Infrastructure","USA",6914.64,,34.08,0.00%,0
374,"HDSN","Hudson Technologies, Inc","Basic Materials","Specialty Chemicals","USA",269.39,9.13,5.96,-0.33%,1140
375,"HE","Hawaiian Electric Industries, Inc","Utilities","Utilities - Regulated Electric","USA",1752.25,,10.16,0.59%,97538
376,"HEPA","Hepion Pharmaceuticals Inc","Healthcare","Biotechnology","USA",4.39,,0.63,0.88%,1151
377,"HGTY","Hagerty Inc","Financial","Insurance - Property & Casualty","USA",3840.41,86.95,11.26,0.00%,0
378,"HII","Huntington Ingalls Industries Inc","Industrials","Aerospace & Defense","USA",7982.38,11.52,204.00,-0.29%,258
379,"HIW","Highwoods Properties, Inc","Real Estate","REIT - Office","USA",3421.28,24.20,32.27,0.00%,0
380,"HLF","Herbalife Ltd","Consumer Defensive","Packaged Foods","USA",826.49,9.60,8.20,0.00%,0
381,"HLI","Houlihan Lokey Inc","Financial","Capital Markets","USA",12938.86,38.02,186.00,-0.28%,82
382,"HLNE","Hamilton Lane Inc","Financial","Asset Management","USA",10877.30,43.08,196.22,-0.35%,40
383,"HLVX","HilleVax Inc","Healthcare","Biotechnology","USA",96.26,,1.93,-2.39%,383
384,"HMN","Horace Mann Educators Corp","Financial","Insurance - Property & Casualty","USA",1714.28,16.76,42.06,0.00%,0
385,"HOPE","Hope Bancorp Inc","Financial","Banks - Regional","USA",1660.16,16.34,13.75,0.00%,0
386,"HOUR","Hour Loop Inc","Consumer Cyclical","Internet Retail","USA",49.18,27.72,1.40,0.00%,0
387,"HOV","Hovnanian Enterprises, Inc","Consumer Cyclical","Residential Construction","USA",1074.20,5.38,172.53,0.27%,128
388,"HPK","HighPeak Energy Inc","Energy","Oil & Gas E&P","USA",1810.74,11.36,14.30,1.63%,179
389,"HPP","Hudson Pacific Properties Inc","Real Estate","REIT - Office","USA",608.63,,4.20,3.96%,8492
390,"HPQ","HP Inc","Technology","Computer Hardware","USA",35763.57,13.02,37.11,0.00%,2793
391,"HR","Healthcare Realty Trust Inc","Real Estate","REIT - Healthcare Facilities","USA",6237.23,,17.60,0.28%,1171
392,"HRL","Hormel Foods Corp","Consumer Defensive","Packaged Foods","USA",16697.67,21.39,30.45,0.20%,337
393,"HRZN","Horizon Technology Finance Corp","Financial","Asset Management","USA",353.98,,9.30,0.43%,366
394,"HSIC","Henry Schein Inc","Healthcare","Medical Distribution","USA",8411.00,27.63,67.46,0.00%,0
395,"HSY","Hershey Company","Consumer Defensive","Confectioners","USA",36808.38,20.95,181.90,0.22%,2287
396,"HTH","Hilltop Holdings Inc","Financial","Banks - Regional","USA",2138.54,20.15,32.92,0.00%,0
397,"HTOO","Fusion Fuel Green Ltd","Utilities","Utilities - Renewable","Ireland",9.79,,0.56,-7.18%,17363
398,"HUBG","Hub Group, Inc","Industrials","Integrated Freight & Logistics","USA",2946.02,27.26,48.01,-2.62%,462
399,"HUM","Humana Inc","Healthcare","Healthcare Plans","USA",33316.65,24.50,276.69,-1.20%,348
400,"HURC","Hurco Companies, Inc","Industrials","Specialty Industrial Machinery","USA",145.05,,22.49,3.35%,20
401,"HWKN","Hawkins Inc","Basic Materials","Specialty Chemicals","USA",2648.76,32.40,126.67,0.00%,0
402,"HXL","Hexcel Corp","Industrials","Aerospace & Defense","USA",4960.57,46.91,61.24,0.00%,118
403,"HYFM","Hydrofarm Holdings Group Inc","Industrials","Farm & Heavy Construction Machinery","USA",25.84,,0.56,-2.01%,432
404,"HYLN","Hyliion Holdings Corporation","Consumer Cyclical","Auto Parts","USA",479.09,,2.76,-4.17%,2799
405,"IART","Integra Lifesciences Holdings Corp","Healthcare","Medical Devices","USA",1888.19,,24.47,-1.37%,1
406,"IBCP","Independent Bank Corporation (Ionia, MI)","Financial","Banks - Regional","USA",805.05,13.09,38.53,0.00%,0
407,"IBM","International Business Machines Corp","Technology","Information Technology Services","USA",194360.41,30.59,210.20,-0.31%,5156
408,"IBOC","International Bancshares Corp","Financial","Banks - Regional","USA",4451.85,11.13,71.57,-0.39%,9
409,"ICL","ICL Group Ltd","Basic Materials","Agricultural Inputs","Israel",5535.00,13.70,4.29,0.23%,3841
410,"ICLK","iClick Interactive Asia Group Ltd ADR","Communication Services","Advertising Agencies","Hong Kong",27.50,,3.09,0.00%,0
411,"ICMB","Investcorp Credit Management BDC Inc","Financial","Asset Management","USA",43.86,,3.05,2.35%,6816
412,"IDT","IDT Corp","Communication Services","Telecom Services","USA",1287.88,20.08,51.01,0.00%,0
413,"IGI","Western Asset Investment Grade Opportunity Trust Inc","Financial","Closed-End Fund - Debt","USA",180.73,17.18,16.66,0.00%,0
414,"IHG","Intercontinental Hotels Group ADR","Consumer Cyclical","Lodging","United Kingdom",19149.83,31.37,121.01,-0.36%,1066
415,"IHRT","iHeartMedia Inc","Communication Services","Broadcasting","USA",300.67,,2.39,0.01%,564
416,"IIIN","Insteel Industries, Inc","Industrials","Metal Fabrication","USA",599.32,31.24,30.81,5.01%,1000
417,"IMO","Imperial Oil Ltd","Energy","Oil & Gas Integrated","Canada",53219.57,10.88,72.85,0.00%,0
418,"IMOS","Chipmos Technologies Inc ADR","Technology","Semiconductors","Taiwan",722.11,13.90,19.86,-1.24%,134
419,"INBX","Inhibrx Biosciences Inc","Healthcare","Biotechnology","USA",240.08,,16.58,0.00%,0
420,"INFN","Infinera Corp","Technology","Communication Equipment","USA",1586.58,,6.70,0.75%,200
421,"INGN","Inogen Inc","Healthcare","Medical Devices","USA",248.66,,10.44,0.00%,0
422,"INM","InMed Pharmaceuticals Inc","Healthcare","Biotechnology","Canada",3.33,,0.25,-1.19%,47074
423,"INN","Summit Hotel Properties Inc","Real Estate","REIT - Hotel & Motel","USA",809.59,602.78,6.51,0.00%,0
424,"INNV","InnovAge Holding Corp","Healthcare","Medical Care Facilities","USA",777.51,,5.74,0.00%,0
425,"INSG","Inseego Corp","Technology","Communication Equipment","USA",186.45,,15.18,-16.41%,3984
426,"INST","Instructure Holdings Inc","Technology","Software - Application","USA",3471.31,,23.60,0.00%,0
427,"INTC","Intel Corp","Technology","Semiconductors","USA",103728.08,,24.05,-0.45%,913305
428,"INVX","Innovex International Inc","Energy","Oil & Gas Equipment & Services","USA",1086.01,,16.15,0.00%,0
429,"IPG","Interpublic Group Of Cos., Inc","Communication Services","Advertising Agencies","USA",11111.94,14.08,29.83,1.98%,27
430,"IPGP","IPG Photonics Corp","Technology","Semiconductor Equipment & Materials","USA",3331.83,,77.04,-1.65%,96
431,"IQI","Invesco Quality Municipal Income Trust","Financial","Closed-End Fund - Debt","USA",529.90,10.12,10.02,0.00%,1
432,"IRBT","Irobot Corp","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",215.44,,7.05,2.17%,3837
433,"IRIX","IRIDEX Corp","Healthcare","Medical Devices","USA",26.79,,1.61,14.18%,19368
434,"IT","Gartner, Inc","Technology","Information Technology Services","USA",42439.28,40.57,550.20,-0.08%,318
435,"ITW","Illinois Tool Works, Inc","Industrials","Specialty Industrial Machinery","USA",79202.85,23.20,268.21,-1.10%,1280
436,"IVR","Invesco Mortgage Capital Inc","Real Estate","REIT - Mortgage","USA",506.49,6.97,8.34,0.85%,2042
437,"IVZ","Invesco Ltd","Financial","Asset Management","USA",8067.45,,17.95,0.90%,83
438,"JBLU","Jetblue Airways Corp","Industrials","Airlines","USA",2365.66,,6.82,7.91%,761887
439,"JELD","JELD-WEN Holding Inc","Industrials","Building Products & Equipment","USA",901.20,,10.65,0.00%,0
440,"JFU","9F Inc ADR","Technology","Information Technology Services","China",13.08,15.94,1.50,4.17%,23
441,"JHG","Janus Henderson Group plc","Financial","Asset Management","United Kingdom",7092.76,17.67,44.61,0.11%,192
442,"JKHY","Jack Henry & Associates, Inc","Technology","Information Technology Services","USA",12921.83,32.40,177.11,0.00%,148
443,"JKS","JinkoSolar Holding Co. Ltd ADR","Technology","Solar","China",1137.12,37.40,22.05,3.38%,15455
444,"JMIA","Jumia Technologies Ag ADR","Consumer Cyclical","Internet Retail","Germany",413.01,,4.04,0.75%,36057
445,"JNPR","Juniper Networks Inc","Technology","Communication Equipment","USA",12829.70,51.08,38.75,0.57%,8
446,"JWN","Nordstrom, Inc","Consumer Cyclical","Department Stores","USA",3804.77,13.57,23.17,0.35%,208
447,"JXN","Jackson Financial Inc","Financial","Insurance - Life","USA",8228.94,,111.41,1.32%,1517
448,"K","Kellanova Co","Consumer Defensive","Packaged Foods","USA",28036.00,27.96,81.33,0.38%,36
449,"KBH","KB Home","Consumer Cyclical","Residential Construction","USA",5874.09,10.27,80.10,1.17%,2218
450,"KIND","Nextdoor Holdings Inc","Communication Services","Internet Content & Information","USA",963.00,,2.52,0.40%,112
451,"KLG","WK Kellogg Co","Consumer Defensive","Packaged Foods","USA",1511.50,22.55,17.55,0.00%,239
452,"KLTR","Kaltura Inc","Technology","Software - Application","USA",312.86,,2.09,0.00%,0
453,"KMB","Kimberly-Clark Corp","Consumer Defensive","Household & Personal Products","USA",44066.75,17.13,132.14,0.00%,34
454,"KMT","Kennametal Inc","Industrials","Tools & Accessories","USA",2279.70,22.99,29.33,0.00%,0
455,"KNSL","Kinsale Capital Group Inc","Financial","Insurance - Property & Casualty","USA",11003.57,26.94,472.50,0.11%,225
456,"KOD","Kodiak Sciences Inc","Healthcare","Biotechnology","USA",267.28,,5.08,0.00%,0
457,"KPLT","Katapult Holdings Inc","Technology","Software - Infrastructure","USA",30.34,,6.91,0.00%,0
458,"KRNY","Kearny Financial Corp","Financial","Banks - Regional","USA",540.53,,8.37,0.00%,0
459,"KSS","Kohl's Corp","Consumer Cyclical","Department Stores","USA",2050.10,7.22,18.43,0.93%,16733
460,"KW","Kennedy-Wilson Holdings Inc","Real Estate","Real Estate Services","USA",1525.27,,11.10,0.00%,0
461,"L","Loews Corp","Financial","Insurance - Property & Casualty","USA",18068.94,11.03,82.97,0.00%,12385
462,"LAMR","Lamar Advertising Co","Real Estate","REIT - Specialty","USA",13254.32,25.92,129.49,0.43%,626
463,"LANC","Lancaster Colony Corp","Consumer Defensive","Packaged Foods","USA",5187.73,32.52,188.20,-2.11%,128
464,"LANV","Lanvin Group Holdings Limited","Consumer Cyclical","Luxury Goods","China",232.03,,1.60,0.00%,0
465,"LAW","CS Disco Inc","Technology","Software - Application","USA",346.27,,5.78,0.00%,0
466,"LAZR","Luminar Technologies Inc","Consumer Cyclical","Auto Parts","USA",592.06,,1.17,3.50%,526514
467,"LCID","Lucid Group Inc","Consumer Cyclical","Auto Manufacturers","USA",6625.41,,2.20,2.80%,2777629
468,"LCII","LCI Industries","Consumer Cyclical","Recreational Vehicles","USA",2896.60,22.14,113.76,0.00%,5
469,"LCNB","LCNB Corp","Financial","Banks - Regional","USA",239.45,33.48,16.97,0.00%,0
470,"LDI","LoanDepot Inc","Financial","Mortgage Finance","USA",935.87,,2.84,2.53%,1954
471,"LDWY","Lendway Inc","Communication Services","Advertising Agencies","USA",6.18,,3.49,0.00%,0
472,"LEG","Leggett & Platt, Inc","Consumer Cyclical","Furnishings, Fixtures & Appliances","USA",1611.54,,12.00,1.10%,7946
473,"LESL","Leslies Inc","Consumer Cyclical","Specialty Retail","USA",541.80,187.82,2.93,0.69%,913
474,"LEV","Lion Electric Co","Industrials","Farm & Heavy Construction Machinery","Canada",81.66,,0.36,-1.85%,3432
475,"LFT","Lument Finance Trust Inc","Real Estate","REIT - Mortgage","USA",128.07,7.03,2.45,0.00%,0
476,"LGIH","LGI Homes Inc","Consumer Cyclical","Residential Construction","USA",2459.99,12.53,104.62,-0.30%,215
477,"LICY","Li-Cycle Holdings Corp","Industrials","Waste Management","Canada",61.51,,2.65,0.34%,82646
478,"LIDR","AEye Inc","Technology","Software - Infrastructure","USA",10.26,,1.15,-4.96%,4489
479,"LIEN","Chicago Atlantic BDC Inc","Financial","Asset Management","USA",293.01,19.25,12.84,0.00%,0
480,"LII","Lennox International Inc","Industrials","Building Products & Equipment","USA",21801.80,29.07,612.01,-0.66%,30
481,"LITB","LightInTheBox Holding Co Ltd ADR","Consumer Cyclical","Internet Retail","Singapore",36.76,,2.00,0.00%,0
482,"LKFN","Lakeland Financial Corp","Financial","Banks - Regional","USA",1929.28,19.69,75.64,0.00%,0
483,"LNC","Lincoln National Corp","Financial","Insurance - Life","USA",6198.79,25.82,36.39,0.69%,426
484,"LOAN","Manhattan Bridge Capital Inc","Real Estate","REIT - Mortgage","USA",61.77,10.97,5.40,0.00%,0
485,"LOGC","ContextLogic Inc","Consumer Cyclical","Internet Retail","USA",173.51,,6.60,-0.44%,131
486,"LOGI","Logitech International S.A","Technology","Computer Hardware","Switzerland",11390.69,17.18,77.11,-0.23%,2431
487,"LOMA","Loma Negra Compania Industrial Argentina Sociedad Anonima ADR","Basic Materials","Building Materials","Argentina",1214.65,12.48,10.19,0.00%,0
488,"LOT","Lotus Technology Inc. ADR","Consumer Cyclical","Auto Manufacturers","China",2923.52,,4.32,0.00%,0
489,"LPSN","Liveperson Inc","Technology","Software - Application","USA",78.32,,0.86,1.00%,25082
490,"LPX","Louisiana-Pacific Corp","Industrials","Building Products & Equipment","USA",7972.74,19.54,113.51,0.65%,1132
491,"LSTR","Landstar System, Inc","Industrials","Integrated Freight & Logistics","USA",6706.21,32.58,189.81,-0.26%,708
492,"LTC","LTC Properties, Inc","Real Estate","REIT - Healthcare Facilities","USA",1783.55,16.94,39.41,0.19%,363
493,"LU","Lufax Holding Ltd ADR","Financial","Credit Services","China",2061.68,,2.46,0.82%,27477
