ticker,total_investment,quantity,total_value,total_pnl
ADA-USD,182700,1100617.3510271278,390127.4514129411,207427.4514129411
KRL-USD,182700,1044199.2557934367,370098.58156156255,187398.58156156255
JASMY-USD,131200,14883455.360629834,305303.82031085837,174103.82031085837
BLZ-USD,182700,2809710.9758994505,354079.4823788464,171379.48237884638
DNT-USD,182700,9744596.453137293,353223.89615391364,170523.89615391364
CHZ-USD,182700,6305663.851337084,338261.816182346,155561.81618234603
RARE-USD,135700,29349398.784202285,289162.15470503096,153462.15470503096
MDT-USD,182700,8288736.660497644,335174.9009060474,152474.90090604738
MKR-USD,182700,203.08638407366823,325666.39522580325,142966.39522580325
KSM-USD,173900,13535.843713334612,292906.84590254445,119006.84590254445
MPL-USD,123300,12520.458001726889,227769.27531238287,104469.27531238287
LINK-USD,182700,24798.476420968895,280160.18761026365,97460.18761026365
MUSE-USD,138400,27440.44201154469,232998.91764399395,94598.91764399395
CVC-USD,182700,2579347.6135546593,275144.85122021026,92444.85122021026
AVAX-USD,145600,9312.066753638814,235871.96819419035,90271.96819419035
NEAR-USD,143200,55471.255550094844,232668.49279951488,89468.49279951488
ACH-USD,146700,12146609.969818372,235581.59222677906,88881.59222677906
AAVE-USD,144400,1640.51124401387,229849.6783718594,85449.6783718594
ETC-USD,182700,14375.915470231019,267419.94667087996,84719.94667087996
ARPA-USD,182700,6516917.984665975,265423.3359164227,82723.33591642271
AUCTION-USD,129700,13884.368490482426,205792.26299407793,76092.26299407793
RLC-USD,182700,173058.00287333847,258359.223254676,75659.223254676
BCH-USD,182700,784.4785852421436,256644.46265099518,73944.46265099518
POWR-USD,182700,1324084.532694386,256095.1476575609,73395.14765756091
NKN-USD,182700,3620933.747513118,252942.25884642167,70242.25884642167
METIS-USD,122100,5587.319835722182,181813.39607951164,59713.39607951164
ORCA-USD,113200,93508.31790978907,172347.80693339652,59147.806933396525
CELR-USD,182700,20003253.71862599,235640.0671834613,52940.0671834613
AST-USD,182700,2747735.5148324994,233804.04774982322,51104.04774982322
AERGO-USD,182700,2412805.8789334516,227714.77336061446,45014.77336061446
AGLD-USD,110900,177321.07097384497,154771.67417211476,43871.674172114755
ENS-USD,104100,7750.800728096597,136034.20470691466,31934.204706914665
MNDE-USD,94200,1266450.0110644563,124743.91819481103,30543.918194811034
AXS-USD,141100,36003.40384383027,171408.46875965258,30308.468759652576
MLN-USD,182700,13738.379806352521,211307.57686618902,28607.576866189018
INDEX-USD,143800,47295.10597114392,171742.0404520982,27942.040452098212
ALEPH-USD,153000,1071294.4877965194,180007.94590565766,27007.94590565766
CBETH-USD,75300,38.212206558161924,99765.60622103051,24465.60622103051
SHIB-USD,146500,12150548313.885479,166889.3811727273,20389.3811727273
STORJ-USD,182700,558478.1590438964,202195.86729195816,19495.86729195816
ICP-USD,122400,16023.957744276406,138538.39988252282,16138.39988252282
CTSI-USD,160600,1309524.1715205049,171893.30427789193,11293.304277891933
SAND-USD,149300,623166.4960570682,158964.24611442446,9664.246114424459
RBN-USD,107400,333596.2340637754,115795.66361417061,8395.663614170611
IDEX-USD,182700,4553034.014851665,187261.26328634145,4561.263286341447
FX-USD,182700,1333095.6509680867,184914.2832482849,2214.28324828489
ELA-USD,182700,96844.1065975514,183963.67078960934,1263.670789609343
GUSD-USD,182700,182983.70032137242,183002.48162167598,302.4816216759791
USDT-USD,182700,182575.41441926023,182618.356143638,-81.64385636200313
DAI-USD,175900,175598.08614763495,175596.86157163384,-303.13842836616095
LRC-USD,182700,1466658.2412336948,177595.67201987558,-5104.327980124421
CRO-USD,182700,2147787.6749942442,177056.26294456472,-5643.737055435282
GYEN-USD,128500,17197725.87938248,120396.85813423456,-8103.141865765443
WCFG-USD,115700,305197.8878049378,107133.03002742154,-8566.96997257846
MATH-USD,157800,866903.4795709613,146627.98662591446,-11172.013374085538
DAR-USD,104600,594384.340885645,90471.58427198886,-14128.41572801114
HBAR-USD,182500,3196381.4771830775,165142.2060149864,-17357.793985013588
NMR-USD,182700,11192.411899625135,164590.671044714,-18109.328955286008
BAND-USD,182400,144889.45158769324,163916.40341464672,-18483.596585353283
BOBA-USD,102900,407698.27434171445,83951.84184198438,-18948.15815801562
DYP-USD,136200,566499.6794766925,117237.2571976358,-18962.7428023642
XLM-USD,182700,1677452.892267699,163025.51027846232,-19674.489721537684
CTX-USD,119400,47748.0670684383,98949.34190827465,-20450.658091725345
ASM-USD,150400,6883970.312794998,129565.5461806389,-20834.453819361093
FARM-USD,147400,2910.7152157486676,126243.4007886962,-21156.599211303794
LTC-USD,182700,2434.4628291727613,160603.29886611341,-22096.701133886585
TRU-USD,123200,791334.6604374,100388.29656682102,-22811.703433178976
T-USD,94800,3287179.1652475162,71568.27806299449,-23231.72193700551
ORN-USD,152200,107456.63470199778,128202.47314334025,-23997.52685665975
ZRX-USD,182700,540485.3702386576,158687.41905353154,-24012.580946468457
ROSE-USD,139600,1870106.3145724211,114461.01286521835,-25138.98713478165
MEDIA-USD,123300,8733.71776414927,98002.49383338216,-25297.506166617837
POND-USD,136400,8490978.41193429,109594.71329683928,-26805.286703160717
HIGH-USD,106700,57873.96362131585,76959.05191072957,-29740.94808927043
ERN-USD,128700,47548.130378312,98777.34614189736,-29922.65385810264
GHST-USD,146100,133529.52299064328,115586.64774298342,-30513.35225701658
POLS-USD,144700,326955.26429413067,112437.91625956648,-32262.083740433518
